Hiber-loss	LSTM-Loss	
 2.3592e+00	 2.7745e-01	
 2.3493e+00	 2.7689e-01	
 2.3575e+00	 2.6376e-01	
 2.3536e+00	 2.7519e-01	
 2.3575e+00	 2.6972e-01	
 2.3439e+00	 2.6827e-01	
 2.3442e+00	 2.7452e-01	
 2.3539e+00	 2.8124e-01	
 2.3408e+00	 2.5649e-01	
 2.3405e+00	 2.7515e-01	
 2.3465e+00	 2.6358e-01	
 2.3317e+00	 2.7266e-01	
 2.3508e+00	 2.7598e-01	
 2.3282e+00	 2.7304e-01	
 2.3291e+00	 2.7309e-01	
 2.3404e+00	 2.7523e-01	
 2.3397e+00	 2.7743e-01	
 2.3335e+00	 2.6844e-01	
 2.3333e+00	 2.7195e-01	
 2.3301e+00	 2.7742e-01	
 2.3331e+00	 2.6696e-01	
 2.3392e+00	 2.7016e-01	
 2.3212e+00	 2.7312e-01	
 2.3103e+00	 2.6955e-01	
 2.3026e+00	 2.7205e-01	
 2.3129e+00	 2.7338e-01	
 2.3124e+00	 2.6805e-01	
 2.2935e+00	 2.7711e-01	
 2.2971e+00	 2.7240e-01	
 2.2577e+00	 2.7789e-01	
 2.2721e+00	 2.7437e-01	
 2.2877e+00	 2.6883e-01	
 2.2858e+00	 2.7203e-01	
 2.2861e+00	 2.6707e-01	
 2.2778e+00	 2.7252e-01	
 2.2923e+00	 2.7848e-01	
 2.2789e+00	 2.6588e-01	
 2.2696e+00	 2.6763e-01	
 2.2782e+00	 2.7087e-01	
 2.2835e+00	 2.7042e-01	
 2.2609e+00	 2.7511e-01	
 2.2484e+00	 2.6994e-01	
 2.2608e+00	 2.7048e-01	
 2.2659e+00	 2.6039e-01	
 2.2795e+00	 2.6772e-01	
 2.2455e+00	 2.7227e-01	
 2.2541e+00	 2.6387e-01	
 2.2380e+00	 2.6087e-01	
 2.2649e+00	 2.7332e-01	
 2.2323e+00	 2.6547e-01	
 2.2495e+00	 2.6659e-01	
 2.2198e+00	 2.6164e-01	
 2.2204e+00	 2.6675e-01	
 2.2087e+00	 2.6998e-01	
 2.2293e+00	 2.5972e-01	
 2.2082e+00	 2.7591e-01	
 2.2124e+00	 2.6353e-01	
 2.1808e+00	 2.6674e-01	
 2.2327e+00	 2.6545e-01	
 2.1695e+00	 2.6094e-01	
 2.1768e+00	 2.6626e-01	
 2.2293e+00	 2.6738e-01	
 2.1790e+00	 2.6254e-01	
 2.2193e+00	 2.6211e-01	
 2.1824e+00	 2.6290e-01	
 2.1633e+00	 2.6890e-01	
 2.1281e+00	 2.6255e-01	
 2.1962e+00	 2.6036e-01	
 2.1923e+00	 2.6722e-01	
 2.1931e+00	 2.5961e-01	
 2.1947e+00	 2.6061e-01	
 2.2197e+00	 2.6340e-01	
 2.2042e+00	 2.5744e-01	
