Hiber-loss	LSTM-Loss	
 1.4713e+00	 2.8625e-01	
 1.4019e+00	 2.8443e-01	
 1.4185e+00	 2.8291e-01	
 1.3788e+00	 2.8412e-01	
 1.3986e+00	 2.8830e-01	
 1.3979e+00	 2.8009e-01	
 1.3880e+00	 2.8492e-01	
 1.4481e+00	 2.8711e-01	
 1.3704e+00	 2.9082e-01	
 1.3821e+00	 2.8092e-01	
 1.3816e+00	 2.8246e-01	
 1.3937e+00	 2.7992e-01	
 1.4142e+00	 2.8321e-01	
 1.4114e+00	 2.8507e-01	
 1.3745e+00	 2.8340e-01	
 1.4332e+00	 2.8440e-01	
 1.4127e+00	 2.8476e-01	
 1.4120e+00	 2.8277e-01	
 1.4180e+00	 2.8436e-01	
 1.3741e+00	 2.8605e-01	
 1.4175e+00	 2.8752e-01	
 1.3902e+00	 2.8522e-01	
 1.3860e+00	 2.8563e-01	
 1.4048e+00	 2.8596e-01	
 1.3983e+00	 2.8477e-01	
 1.3698e+00	 2.8390e-01	
 1.3910e+00	 2.8665e-01	
 1.3759e+00	 2.8241e-01	
 1.3601e+00	 2.8255e-01	
 1.4161e+00	 2.8496e-01	
 1.3569e+00	 2.8099e-01	
 1.3606e+00	 2.8033e-01	
 1.3699e+00	 2.8541e-01	
 1.3751e+00	 2.8233e-01	
 1.3928e+00	 2.8317e-01	
 1.4152e+00	 2.8439e-01	
 1.3696e+00	 2.8115e-01	
 1.4279e+00	 2.8804e-01	
 1.3839e+00	 2.8260e-01	
 1.3553e+00	 2.8357e-01	
 1.4110e+00	 2.8626e-01	
 1.3887e+00	 2.7955e-01	
 1.3951e+00	 2.8276e-01	
 1.3708e+00	 2.8025e-01	
 1.4305e+00	 2.8628e-01	
 1.4151e+00	 2.8578e-01	
 1.3997e+00	 2.8288e-01	
 1.4193e+00	 2.8567e-01	
 1.3911e+00	 2.8494e-01	
 1.3846e+00	 2.8446e-01	
 1.4000e+00	 2.8437e-01	
 1.3798e+00	 2.8222e-01	
 1.3741e+00	 2.8080e-01	
 1.3860e+00	 2.8204e-01	
 1.3873e+00	 2.7994e-01	
 1.3915e+00	 2.8371e-01	
 1.3913e+00	 2.8305e-01	
 1.3690e+00	 2.8121e-01	
 1.3847e+00	 2.8253e-01	
 1.3685e+00	 2.8049e-01	
 1.3611e+00	 2.8317e-01	
 1.4138e+00	 2.8253e-01	
 1.3863e+00	 2.8156e-01	
 1.3536e+00	 2.8126e-01	
 1.3683e+00	 2.8258e-01	
 1.3346e+00	 2.7911e-01	
 1.3962e+00	 2.8245e-01	
 1.3500e+00	 2.8375e-01	
 1.3739e+00	 2.8442e-01	
 1.3663e+00	 2.8179e-01	
 1.3454e+00	 2.8261e-01	
 1.4047e+00	 2.8175e-01	
 1.3297e+00	 2.8028e-01	
 1.3617e+00	 2.8242e-01	
 1.3941e+00	 2.8023e-01	
 1.3487e+00	 2.7975e-01	
 1.3267e+00	 2.8123e-01	
 1.3574e+00	 2.7973e-01	
 1.3793e+00	 2.7836e-01	
 1.3592e+00	 2.8013e-01	
 1.3342e+00	 2.8019e-01	
 1.3839e+00	 2.8163e-01	
 1.3639e+00	 2.8105e-01	
 1.3190e+00	 2.7704e-01	
 1.3683e+00	 2.8040e-01	
 1.3665e+00	 2.7967e-01	
 1.3242e+00	 2.8501e-01	
 1.3900e+00	 2.7977e-01	
 1.3703e+00	 2.8226e-01	
 1.3841e+00	 2.7760e-01	
 1.4073e+00	 2.8203e-01	
 1.3456e+00	 2.8413e-01	
 1.3534e+00	 2.8294e-01	
 1.3685e+00	 2.8058e-01	
 1.3541e+00	 2.7994e-01	
 1.3601e+00	 2.8135e-01	
 1.3705e+00	 2.8106e-01	
 1.4033e+00	 2.8270e-01	
 1.3061e+00	 2.7985e-01	
 1.3654e+00	 2.8199e-01	
 1.3391e+00	 2.8149e-01	
 1.3544e+00	 2.8064e-01	
 1.3482e+00	 2.8116e-01	
 1.3334e+00	 2.7914e-01	
 1.4094e+00	 2.8233e-01	
 1.3762e+00	 2.8176e-01	
 1.3687e+00	 2.7978e-01	
 1.3587e+00	 2.7810e-01	
 1.3693e+00	 2.8095e-01	
 1.3359e+00	 2.8014e-01	
 1.3417e+00	 2.7928e-01	
 1.3941e+00	 2.7968e-01	
 1.3290e+00	 2.7977e-01	
 1.3742e+00	 2.7893e-01	
 1.3496e+00	 2.8455e-01	
 1.3552e+00	 2.7847e-01	
 1.3558e+00	 2.7870e-01	
 1.4128e+00	 2.8121e-01	
 1.3760e+00	 2.7981e-01	
 1.3297e+00	 2.8239e-01	
 1.3449e+00	 2.7841e-01	
 1.3429e+00	 2.7969e-01	
 1.3659e+00	 2.8014e-01	
 1.3499e+00	 2.8287e-01	
 1.3630e+00	 2.7871e-01	
 1.3528e+00	 2.8210e-01	
 1.3926e+00	 2.8090e-01	
 1.3881e+00	 2.8022e-01	
 1.3243e+00	 2.7290e-01	
 1.3716e+00	 2.8138e-01	
 1.3666e+00	 2.7930e-01	
 1.3135e+00	 2.7675e-01	
 1.3675e+00	 2.7856e-01	
 1.3594e+00	 2.7897e-01	
 1.3725e+00	 2.7905e-01	
 1.3284e+00	 2.7917e-01	
 1.3699e+00	 2.8025e-01	
 1.3864e+00	 2.8184e-01	
 1.3744e+00	 2.7909e-01	
 1.3806e+00	 2.7881e-01	
 1.3633e+00	 2.8091e-01	
 1.3182e+00	 2.7789e-01	
 1.3636e+00	 2.7948e-01	
 1.3572e+00	 2.8144e-01	
 1.3256e+00	 2.7613e-01	
 1.3630e+00	 2.7933e-01	
 1.3130e+00	 2.7853e-01	
 1.3775e+00	 2.7579e-01	
 1.3976e+00	 2.7912e-01	
 1.3397e+00	 2.7789e-01	
 1.3086e+00	 2.7646e-01	
 1.3518e+00	 2.7907e-01	
 1.3780e+00	 2.8080e-01	
 1.3616e+00	 2.7711e-01	
 1.3667e+00	 2.7886e-01	
 1.3394e+00	 2.7843e-01	
 1.3445e+00	 2.7661e-01	
 1.3286e+00	 2.7833e-01	
 1.3882e+00	 2.7831e-01	
 1.3281e+00	 2.7883e-01	
 1.3395e+00	 2.7989e-01	
 1.3379e+00	 2.7987e-01	
 1.3533e+00	 2.7764e-01	
 1.3251e+00	 2.7818e-01	
 1.3861e+00	 2.8299e-01	
 1.3188e+00	 2.7502e-01	
 1.3018e+00	 2.7624e-01	
 1.3237e+00	 2.7697e-01	
 1.3316e+00	 2.7340e-01	
 1.3509e+00	 2.8051e-01	
 1.3413e+00	 2.7527e-01	
 1.3815e+00	 2.7800e-01	
 1.3548e+00	 2.7682e-01	
 1.3305e+00	 2.7608e-01	
 1.3634e+00	 2.8202e-01	
 1.3370e+00	 2.7520e-01	
 1.3851e+00	 2.8241e-01	
 1.3904e+00	 2.8105e-01	
 1.3484e+00	 2.8031e-01	
